Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3;Temperature_C;Humidity_pct;Occupancy_Ratio
20/08/2025;11:00:00;2.128;0.427;238.86;8.91;0.0;0.0;55.0;31.6;48.1;0.67
20/08/2025;12:00:00;2.042;0.133;238.33;8.57;0.0;0.0;55.0;31.7;50.5;0.72
20/08/2025;13:00:00;2.096;0.119;242.48;8.64;0.0;0.0;55.0;33.7;41.1;0.73
20/08/2025;14:00:00;2.079;0.256;241.95;8.59;0.0;0.0;55.0;35.5;55.9;0.59
20/08/2025;15:00:00;2.194;0.418;239.32;9.17;0.0;0.0;55.0;33.0;43.7;0.6
20/08/2025;16:00:00;2.373;0.283;241.68;9.82;0.0;0.0;55.0;32.9;46.8;0.67
20/08/2025;17:00:00;2.866;0.574;239.27;11.98;0.0;0.0;55.0;35.1;46.8;0.67
20/08/2025;18:00:00;3.599;0.324;239.4;15.03;22.1;0.0;55.0;33.1;47.4;0.7
20/08/2025;19:00:00;3.67;0.208;244.35;15.02;23.5;0.0;55.0;30.2;47.0;0.24
20/08/2025;20:00:00;3.905;0.701;239.61;16.3;9.6;0.0;55.0;30.5;57.0;0.26
20/08/2025;21:00:00;3.629;0.568;238.86;15.19;4.0;0.0;55.0;27.7;57.0;0.28
20/08/2025;22:00:00;2.667;0.333;240.05;11.11;0.0;0.0;55.0;26.4;54.9;0.23
20/08/2025;23:00:00;1.993;0.386;234.5;8.5;0.0;0.0;55.0;26.3;51.4;0.33
21/08/2025;00:00:00;0.686;0.13;239.53;2.86;0.0;0.0;55.0;22.0;62.1;0.12
21/08/2025;01:00:00;0.749;0.079;240.71;3.11;0.0;0.0;55.0;21.5;54.9;0.12
21/08/2025;02:00:00;0.745;0.143;245.55;3.04;0.0;0.0;55.0;22.7;64.1;0.12
21/08/2025;03:00:00;0.693;0.075;240.26;2.89;0.0;0.0;55.0;21.9;57.5;0.12
21/08/2025;04:00:00;1.038;0.162;241.23;4.3;0.0;0.0;55.0;24.0;61.3;0.12
21/08/2025;05:00:00;0.825;0.068;240.97;3.43;0.0;0.0;55.0;22.7;55.7;0.12
21/08/2025;06:00:00;1.497;0.142;246.35;6.08;0.0;0.0;55.0;22.7;56.6;0.31
21/08/2025;07:00:00;2.853;0.36;242.81;11.75;0.0;3.4;55.0;28.1;58.1;0.29
21/08/2025;08:00:00;3.694;0.382;235.94;15.66;0.0;15.6;55.0;26.8;64.0;0.78
21/08/2025;09:00:00;3.214;0.231;243.44;13.2;0.0;10.3;55.0;28.5;59.4;0.68
21/08/2025;10:00:00;2.484;0.328;237.35;10.46;0.0;0.0;55.0;27.5;56.7;0.6
21/08/2025;11:00:00;1.983;0.272;238.17;8.33;0.0;0.0;55.0;30.1;53.3;0.68
21/08/2025;12:00:00;1.914;0.147;236.36;8.1;0.0;0.0;55.0;32.1;46.2;0.66
21/08/2025;13:00:00;1.906;0.152;245.1;7.77;0.0;0.0;55.0;31.0;51.1;0.65
21/08/2025;14:00:00;2.217;0.122;243.32;9.11;0.0;0.0;55.0;33.8;42.8;0.66
21/08/2025;15:00:00;1.895;0.105;243.45;7.78;0.0;0.0;55.0;32.5;50.3;0.63
21/08/2025;16:00:00;2.384;0.265;242.9;9.81;0.0;0.0;55.0;32.8;50.4;0.76
21/08/2025;17:00:00;2.805;0.21;241.93;11.59;0.0;0.0;55.0;31.8;39.1;0.76
21/08/2025;18:00:00;3.64;0.751;239.1;15.22;24.5;0.0;55.0;34.7;46.8;0.74
21/08/2025;19:00:00;3.645;0.306;240.58;15.15;9.3;0.0;55.0;30.9;51.8;0.25
21/08/2025;20:00:00;3.875;0.237;238.55;16.25;10.4;0.0;55.0;28.1;51.5;0.23
21/08/2025;21:00:00;3.661;0.435;237.62;15.41;4.1;0.0;55.0;29.6;52.5;0.24
21/08/2025;22:00:00;2.655;0.22;238.21;11.15;0.0;0.0;55.0;25.3;47.5;0.23
21/08/2025;23:00:00;5.773;0.349;246.59;23.41;0.0;0.0;55.0;26.2;49.6;0.23
22/08/2025;00:00:00;0.591;0.105;238.93;2.47;0.0;0.0;55.0;21.9;62.0;0.12
22/08/2025;01:00:00;2.952;0.427;242.8;12.16;0.0;0.0;55.0;22.1;56.7;0.12
22/08/2025;02:00:00;0.731;0.044;245.82;2.97;0.0;0.0;55.0;23.9;57.0;0.12
22/08/2025;03:00:00;0.866;0.112;242.19;3.57;0.0;0.0;55.0;24.5;52.1;0.12
22/08/2025;04:00:00;0.769;0.044;237.79;3.23;0.0;0.0;55.0;23.8;55.4;0.12
22/08/2025;05:00:00;1.017;0.112;237.94;4.28;0.0;0.0;55.0;23.9;43.8;0.12
22/08/2025;06:00:00;1.729;0.193;240.33;7.19;0.0;0.0;55.0;24.4;59.1;0.23
22/08/2025;07:00:00;2.365;0.449;246.32;9.6;0.0;11.4;55.0;23.7;64.5;0.31
22/08/2025;08:00:00;3.14;0.55;243.99;12.87;0.0;3.9;55.0;26.0;48.3;0.66
22/08/2025;09:00:00;3.182;0.644;241.5;13.18;0.0;3.7;55.0;27.7;47.5;0.69
22/08/2025;10:00:00;2.625;0.194;239.43;10.97;0.0;0.0;55.0;31.3;51.6;0.7
22/08/2025;11:00:00;2.119;0.298;241.06;8.79;0.0;0.0;55.0;31.4;56.6;0.73
22/08/2025;12:00:00;1.588;0.085;240.53;6.6;0.0;0.0;55.0;29.3;51.0;0.6
22/08/2025;13:00:00;1.888;0.359;240.51;7.85;0.0;0.0;55.0;33.2;41.7;0.75
22/08/2025;14:00:00;2.061;0.231;237.55;8.67;0.0;0.0;55.0;32.6;47.2;0.76
22/08/2025;15:00:00;1.877;0.116;237.5;7.91;0.0;0.0;55.0;32.4;43.3;0.63
22/08/2025;16:00:00;2.508;0.264;240.92;10.41;0.0;0.0;55.0;34.1;43.7;0.64
22/08/2025;17:00:00;2.993;0.296;236.75;12.64;0.0;0.0;55.0;34.3;45.5;0.74
22/08/2025;18:00:00;3.811;0.687;238.25;16.0;21.5;0.0;55.0;33.3;43.1;0.75
22/08/2025;19:00:00;3.626;0.259;240.08;15.1;10.5;0.0;55.0;29.6;46.8;0.23
22/08/2025;20:00:00;3.824;0.552;240.93;15.87;19.3;0.0;55.0;29.2;51.4;0.29
22/08/2025;21:00:00;3.399;0.629;243.12;13.98;12.9;0.0;55.0;28.9;52.4;0.33
