Datetime,Global_active_power_kW,Global_reactive_power_kW,Voltage_V,Global_intensity_A,Sub_metering_1_Wh,Sub_metering_2_Wh,Sub_metering_3_Wh,Energy_kWh,Temperature_C,Humidity_pct,Apparent_Temp_C,Occupancy_Ratio,Occupied_Flag,Zone_Activity_Level,Hour,DayOfWeek,DayName,Month,Year,IsWeekend,Occupancy_Level,Occupancy_Score
2025-08-20 11:00:00,2.128,0.427,238.86,8.91,0.0,0.0,55.0,2.128,31.6,48.1,35.0,0.67,1.0,High,11,2,Wednesday,8,2025.0,0,Medium,0.5
2025-08-20 12:00:00,2.042,0.133,238.33,8.57,0.0,0.0,55.0,2.042,31.7,50.5,35.5,0.72,1.0,High,12,2,Wednesday,8,2025.0,0,Medium,0.5
2025-08-20 13:00:00,2.096,0.119,242.48,8.64,0.0,0.0,55.0,2.096,33.7,41.1,36.8,0.73,1.0,High,13,2,Wednesday,8,2025.0,0,Medium,0.5
2025-08-20 14:00:00,2.079,0.256,241.95,8.59,0.0,0.0,55.0,2.079,35.5,55.9,42.1,0.59,1.0,High,14,2,Wednesday,8,2025.0,0,Medium,0.5
2025-08-20 15:00:00,2.194,0.418,239.32,9.17,0.0,0.0,55.0,2.194,33.0,43.7,36.2,0.6,1.0,High,15,2,Wednesday,8,2025.0,0,Medium,0.5
2025-08-20 16:00:00,2.373,0.283,241.68,9.82,0.0,0.0,55.0,2.373,32.9,46.8,36.6,0.67,1.0,High,16,2,Wednesday,8,2025.0,0,Medium,0.5
2025-08-20 17:00:00,2.866,0.574,239.27,11.98,0.0,0.0,55.0,2.866,35.1,46.8,39.8,0.67,1.0,High,17,2,Wednesday,8,2025.0,0,Medium,0.5
2025-08-20 18:00:00,3.599,0.324,239.4,15.03,22.1,0.0,55.0,3.599,33.1,47.4,37.0,0.7,1.0,High,18,2,Wednesday,8,2025.0,0,High,0.85
2025-08-20 19:00:00,3.67,0.208,244.35,15.02,23.5,0.0,55.0,3.67,30.2,47.0,32.8,0.24,0.0,Moderate,19,2,Wednesday,8,2025.0,0,High,0.85
2025-08-20 20:00:00,3.905,0.701,239.61,16.3,9.6,0.0,55.0,3.905,30.5,57.0,34.7,0.26,0.0,Moderate,20,2,Wednesday,8,2025.0,0,High,0.85
2025-08-20 21:00:00,3.629,0.568,238.86,15.19,4.0,0.0,55.0,3.629,27.7,57.0,30.7,0.28,0.0,Moderate,21,2,Wednesday,8,2025.0,0,High,0.85
2025-08-20 22:00:00,2.667,0.333,240.05,11.11,0.0,0.0,55.0,2.667,26.4,54.9,28.6,0.23,0.0,Moderate,22,2,Wednesday,8,2025.0,0,High,0.85
2025-08-20 23:00:00,1.993,0.386,234.5,8.5,0.0,0.0,55.0,1.993,26.3,51.4,28.1,0.33,1.0,Moderate,23,2,Wednesday,8,2025.0,0,Medium,0.5
2025-08-21 00:00:00,0.686,0.13,239.53,2.86,0.0,0.0,55.0,0.686,22.0,62.1,23.4,0.12,0.0,Low,0,3,Thursday,8,2025.0,0,Low,0.15
2025-08-21 01:00:00,0.749,0.079,240.71,3.11,0.0,0.0,55.0,0.749,21.5,54.9,22.1,0.12,0.0,Low,1,3,Thursday,8,2025.0,0,Low,0.15
2025-08-21 02:00:00,0.745,0.143,245.55,3.04,0.0,0.0,55.0,0.745,22.7,64.1,24.5,0.12,0.0,Low,2,3,Thursday,8,2025.0,0,Low,0.15
2025-08-21 03:00:00,0.693,0.075,240.26,2.89,0.0,0.0,55.0,0.693,21.9,57.5,22.9,0.12,0.0,Low,3,3,Thursday,8,2025.0,0,Low,0.15
2025-08-21 04:00:00,1.038,0.162,241.23,4.3,0.0,0.0,55.0,1.038,24.0,61.3,26.0,0.12,0.0,Low,4,3,Thursday,8,2025.0,0,Low,0.15
2025-08-21 05:00:00,0.825,0.068,240.97,3.43,0.0,0.0,55.0,0.825,22.7,55.7,23.8,0.12,0.0,Low,5,3,Thursday,8,2025.0,0,Low,0.15
2025-08-21 06:00:00,1.497,0.142,246.35,6.08,0.0,0.0,55.0,1.497,22.7,56.6,23.8,0.31,1.0,Moderate,6,3,Thursday,8,2025.0,0,Medium,0.5
2025-08-21 07:00:00,2.853,0.36,242.81,11.75,0.0,3.4,55.0,2.853,28.1,58.1,31.4,0.29,0.0,Moderate,7,3,Thursday,8,2025.0,0,High,0.85
2025-08-21 08:00:00,3.694,0.382,235.94,15.66,0.0,15.6,55.0,3.694,26.8,64.0,30.2,0.78,1.0,High,8,3,Thursday,8,2025.0,0,High,0.85
2025-08-21 09:00:00,3.214,0.231,243.44,13.2,0.0,10.3,55.0,3.214,28.5,59.4,32.1,0.68,1.0,High,9,3,Thursday,8,2025.0,0,High,0.85
2025-08-21 10:00:00,2.484,0.328,237.35,10.46,0.0,0.0,55.0,2.484,27.5,56.7,30.3,0.6,1.0,High,10,3,Thursday,8,2025.0,0,Medium,0.5
2025-08-21 11:00:00,1.983,0.272,238.17,8.33,0.0,0.0,55.0,1.983,30.1,53.3,33.6,0.68,1.0,High,11,3,Thursday,8,2025.0,0,Medium,0.5
2025-08-21 12:00:00,1.914,0.147,236.36,8.1,0.0,0.0,55.0,1.914,32.1,46.2,35.4,0.66,1.0,High,12,3,Thursday,8,2025.0,0,Medium,0.5
2025-08-21 13:00:00,1.906,0.152,245.1,7.77,0.0,0.0,55.0,1.906,31.0,51.1,34.5,0.65,1.0,High,13,3,Thursday,8,2025.0,0,Medium,0.5
