,Temperature_C,Humidity_pct
2026-08-11 01:00:00,16.9,65.6
2026-08-11 02:00:00,16.6,69.8
2026-08-11 03:00:00,16.4,70.2
2026-08-11 04:00:00,16.6,66.9
2026-08-11 05:00:00,16.9,68.3
2026-08-11 06:00:00,17.5,64.2
2026-08-11 07:00:00,18.3,64.8
2026-08-11 08:00:00,19.2,65.3
2026-08-11 09:00:00,20.2,64.8
2026-08-11 10:00:00,21.2,64.3
2026-08-11 11:00:00,22.1,57.8
2026-08-11 12:00:00,22.9,57.0
2026-08-11 13:00:00,23.5,59.8
2026-08-11 14:00:00,23.9,56.8
2026-08-11 15:00:00,24.0,64.0
2026-08-11 16:00:00,23.9,57.9
2026-08-11 17:00:00,23.5,59.9
2026-08-11 18:00:00,22.9,61.0
2026-08-11 19:00:00,22.1,63.5
2026-08-11 20:00:00,21.2,53.9
2026-08-11 21:00:00,20.2,64.2
2026-08-11 22:00:00,19.2,67.3
2026-08-11 23:00:00,18.3,61.9
2026-08-12 00:00:00,17.5,64.0
2026-08-12 01:00:00,16.9,60.2
2026-08-12 02:00:00,16.6,68.8
2026-08-12 03:00:00,16.4,67.9
2026-08-12 04:00:00,16.6,65.3
2026-08-12 05:00:00,16.9,72.4
2026-08-12 06:00:00,17.5,74.5
2026-08-12 07:00:00,18.3,68.7
2026-08-12 08:00:00,19.2,62.1
2026-08-12 09:00:00,20.2,63.5
2026-08-12 10:00:00,21.2,60.5
2026-08-12 11:00:00,22.1,62.3
2026-08-12 12:00:00,22.9,54.6
2026-08-12 13:00:00,23.5,59.8
2026-08-12 14:00:00,23.9,60.2
2026-08-12 15:00:00,24.0,57.2
2026-08-12 16:00:00,23.9,62.7
2026-08-12 17:00:00,23.5,62.8
2026-08-12 18:00:00,22.9,65.3
2026-08-12 19:00:00,22.1,59.6
2026-08-12 20:00:00,21.2,62.3
2026-08-12 21:00:00,20.2,67.5
2026-08-12 22:00:00,19.2,65.4
2026-08-12 23:00:00,18.3,65.5
2026-08-13 00:00:00,17.5,63.9
2026-08-13 01:00:00,16.9,71.1
2026-08-13 02:00:00,16.6,67.7
2026-08-13 03:00:00,16.4,66.9
2026-08-13 04:00:00,16.6,62.1
2026-08-13 05:00:00,16.9,63.5
2026-08-13 06:00:00,17.5,64.2
2026-08-13 07:00:00,18.3,63.9
