Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
10/08/2026;03:00:00;0.581;0.09;240.84;2.41;0.0;0.0;50.0
10/08/2026;04:00:00;0.531;0.117;236.62;2.24;0.0;0.0;50.0
10/08/2026;05:00:00;0.841;0.135;247.34;3.4;0.0;0.0;50.0
10/08/2026;06:00:00;1.468;0.238;240.39;6.11;0.0;0.0;50.0
10/08/2026;07:00:00;1.906;0.43;240.33;7.93;0.0;17.4;50.0
10/08/2026;08:00:00;2.265;0.296;242.18;9.35;0.0;14.5;50.0
10/08/2026;09:00:00;2.178;0.167;241.44;9.02;0.0;14.9;50.0
10/08/2026;10:00:00;1.355;0.076;240.67;5.63;0.0;0.0;50.0
10/08/2026;11:00:00;0.673;0.135;237.63;2.83;0.0;0.0;50.0
10/08/2026;12:00:00;0.634;0.11;241.41;2.62;0.0;0.0;50.0
10/08/2026;13:00:00;0.443;0.085;245.65;1.8;0.0;0.0;50.0
10/08/2026;14:00:00;0.459;0.042;244.04;1.88;0.0;0.0;50.0
10/08/2026;15:00:00;0.646;0.05;244.78;2.64;0.0;0.0;50.0
10/08/2026;16:00:00;0.551;0.029;238.47;2.31;0.0;0.0;50.0
10/08/2026;17:00:00;1.053;0.126;237.03;4.44;0.0;0.0;50.0
10/08/2026;18:00:00;1.932;0.325;239.62;8.06;13.4;0.0;50.0
10/08/2026;19:00:00;2.554;0.328;240.17;10.64;14.8;0.0;50.0
10/08/2026;20:00:00;3.047;0.419;243.28;12.53;14.5;0.0;50.0
10/08/2026;21:00:00;2.57;0.593;234.92;10.94;2.3;0.0;50.0
10/08/2026;22:00:00;1.804;0.216;244.59;7.38;0.0;0.0;50.0
10/08/2026;23:00:00;1.531;0.234;239.53;6.39;0.0;0.0;50.0
11/08/2026;00:00:00;0.466;0.096;238.72;1.95;0.0;0.0;50.0
11/08/2026;01:00:00;0.51;0.066;236.96;2.15;0.0;0.0;50.0
11/08/2026;02:00:00;0.287;0.05;235.04;1.22;0.0;0.0;50.0
11/08/2026;03:00:00;0.425;0.095;242.47;1.75;0.0;0.0;50.0
11/08/2026;04:00:00;0.568;0.136;240.22;2.36;0.0;0.0;50.0
11/08/2026;05:00:00;0.571;0.045;236.13;2.42;0.0;0.0;50.0
11/08/2026;06:00:00;1.296;0.305;236.11;5.49;0.0;0.0;50.0
11/08/2026;07:00:00;1.851;0.275;238.99;7.75;0.0;14.3;50.0
11/08/2026;08:00:00;2.256;0.229;245.01;9.21;0.0;18.2;50.0
11/08/2026;09:00:00;1.851;0.263;239.22;7.74;0.0;3.6;50.0
11/08/2026;10:00:00;1.518;0.373;235.49;6.45;0.0;0.0;50.0
